Model,MAE,MSE,RMSE,R2 Score
Gradient Boosting Regression,0.36982175334805417,0.237327615055354,0.48716282191414606,0.7614673149408748
Random Forest Regression,0.3859554593458319,0.24565768569389385,0.49563866444607996,0.7530949469984436
Multiple Linear Regression,0.43705025836083755,0.3157627188436489,0.5619276811509191,0.6826339440112027
